| table_name          | column_name           | data_type                | is_nullable |
| ------------------- | --------------------- | ------------------------ | ----------- |
| active_sessions     | id                    | uuid                     | NO          |
| active_sessions     | user_id               | uuid                     | NO          |
| active_sessions     | project_id            | uuid                     | NO          |
| active_sessions     | file_id               | uuid                     | YES         |
| active_sessions     | cursor_position       | jsonb                    | YES         |
| active_sessions     | selection_range       | jsonb                    | YES         |
| active_sessions     | last_activity         | timestamp with time zone | YES         |
| active_sessions     | session_token         | character varying        | NO          |
| chat_messages       | id                    | uuid                     | NO          |
| chat_messages       | room_id               | uuid                     | NO          |
| chat_messages       | user_id               | uuid                     | NO          |
| chat_messages       | content               | text                     | NO          |
| chat_messages       | message_type          | character varying        | YES         |
| chat_messages       | metadata              | jsonb                    | YES         |
| chat_messages       | reply_to_id           | uuid                     | YES         |
| chat_messages       | created_at            | timestamp with time zone | YES         |
| chat_messages       | updated_at            | timestamp with time zone | YES         |
| chat_messages       | is_deleted            | boolean                  | YES         |
| chat_rooms          | id                    | uuid                     | NO          |
| chat_rooms          | project_id            | uuid                     | NO          |
| chat_rooms          | name                  | character varying        | YES         |
| chat_rooms          | created_by            | uuid                     | NO          |
| chat_rooms          | created_at            | timestamp with time zone | YES         |
| email_invitations   | id                    | uuid                     | NO          |
| email_invitations   | project_id            | uuid                     | NO          |
| email_invitations   | share_link_id         | uuid                     | NO          |
| email_invitations   | invited_email         | text                     | NO          |
| email_invitations   | invited_by            | uuid                     | NO          |
| email_invitations   | invitation_message    | text                     | YES         |
| email_invitations   | sent_at               | timestamp with time zone | YES         |
| email_invitations   | accepted_at           | timestamp with time zone | YES         |
| email_invitations   | status                | text                     | YES         |
| email_invitations   | created_at            | timestamp with time zone | YES         |
| email_invitations   | updated_at            | timestamp with time zone | YES         |
| file_operations     | id                    | uuid                     | NO          |
| file_operations     | file_id               | uuid                     | NO          |
| file_operations     | user_id               | uuid                     | NO          |
| file_operations     | operation_type        | character varying        | NO          |
| file_operations     | position              | jsonb                    | NO          |
| file_operations     | content               | text                     | YES         |
| file_operations     | length                | integer                  | YES         |
| file_operations     | timestamp             | timestamp with time zone | YES         |
| file_versions       | id                    | uuid                     | NO          |
| file_versions       | project_version_id    | uuid                     | NO          |
| file_versions       | file_id               | uuid                     | NO          |
| file_versions       | content               | text                     | YES         |
| file_versions       | content_hash          | character varying        | YES         |
| file_versions       | change_type           | character varying        | NO          |
| file_versions       | old_path              | text                     | YES         |
| file_versions       | created_at            | timestamp with time zone | YES         |
| project_files       | id                    | uuid                     | NO          |
| project_files       | project_id            | uuid                     | NO          |
| project_files       | name                  | character varying        | NO          |
| project_files       | path                  | text                     | NO          |
| project_files       | content               | text                     | YES         |
| project_files       | file_type             | character varying        | YES         |
| project_files       | mime_type             | character varying        | YES         |
| project_files       | size_bytes            | bigint                   | YES         |
| project_files       | parent_id             | uuid                     | YES         |
| project_files       | created_at            | timestamp with time zone | YES         |
| project_files       | updated_at            | timestamp with time zone | YES         |
| project_files       | created_by            | uuid                     | YES         |
| project_members     | id                    | uuid                     | NO          |
| project_members     | project_id            | uuid                     | NO          |
| project_members     | user_id               | uuid                     | NO          |
| project_members     | role                  | text                     | NO          |
| project_members     | joined_at             | timestamp with time zone | YES         |
| project_tags        | id                    | uuid                     | NO          |
| project_tags        | project_id            | uuid                     | NO          |
| project_tags        | name                  | character varying        | NO          |
| project_tags        | color                 | character varying        | YES         |
| project_versions    | id                    | uuid                     | NO          |
| project_versions    | project_id            | uuid                     | NO          |
| project_versions    | version_number        | integer                  | NO          |
| project_versions    | commit_hash           | character varying        | NO          |
| project_versions    | commit_message        | text                     | YES         |
| project_versions    | author_id             | uuid                     | NO          |
| project_versions    | parent_version_id     | uuid                     | YES         |
| project_versions    | is_main_branch        | boolean                  | YES         |
| project_versions    | branch_name           | character varying        | YES         |
| project_versions    | created_at            | timestamp with time zone | YES         |
| projects            | id                    | uuid                     | NO          |
| projects            | name                  | character varying        | NO          |
| projects            | description           | text                     | YES         |
| projects            | owner_id              | uuid                     | NO          |
| projects            | is_public             | boolean                  | YES         |
| projects            | created_at            | timestamp with time zone | YES         |
| projects            | updated_at            | timestamp with time zone | YES         |
| projects            | sharing_enabled       | boolean                  | NO          |
| sharing_permissions | id                    | uuid                     | NO          |
| sharing_permissions | project_id            | uuid                     | NO          |
| sharing_permissions | share_token           | character varying        | YES         |
| sharing_permissions | expires_at            | timestamp with time zone | YES         |
| sharing_permissions | created_by            | uuid                     | NO          |
| sharing_permissions | created_at            | timestamp with time zone | YES         |
| sharing_permissions | is_active             | boolean                  | YES         |
| sharing_permissions | role                  | text                     | NO          |
| trigger_log         | id                    | integer                  | NO          |
| trigger_log         | event_type            | text                     | YES         |
| trigger_log         | user_id               | uuid                     | YES         |
| trigger_log         | user_email            | text                     | YES         |
| trigger_log         | raw_data              | jsonb                    | YES         |
| trigger_log         | created_at            | timestamp with time zone | YES         |
| trigger_log         | error_message         | text                     | YES         |
| user_preferences    | user_id               | uuid                     | NO          |
| user_preferences    | theme                 | character varying        | YES         |
| user_preferences    | editor_settings       | jsonb                    | YES         |
| user_preferences    | notification_settings | jsonb                    | YES         |
| user_preferences    | updated_at            | timestamp with time zone | YES         |
| users               | id                    | uuid                     | NO          |
| users               | email                 | text                     | NO          |
| users               | name                  | text                     | NO          |
| users               | avatar_url            | text                     | YES         |
| users               | created_at            | timestamp with time zone | YES         |
| users               | updated_at            | timestamp with time zone | YES         |
| users               | last_active_at        | timestamp with time zone | YES         |
